age,rf_all_ages,rf_age_le28
240,48.71573081056402,38.19375199884419
241,48.71573081056402,38.19375199884419
242,48.71573081056402,38.19375199884419
243,48.71573081056402,38.19375199884419
244,48.71573081056402,38.19375199884419
245,48.71573081056402,38.19375199884419
246,48.71573081056402,38.19375199884419
247,48.71573081056402,38.19375199884419
248,48.71573081056401,38.19375199884419
249,48.71573081056402,38.19375199884419
250,48.71573081056402,38.19375199884419
251,48.71573081056401,38.19375199884419
252,48.71573081056402,38.19375199884419
253,48.71573081056402,38.19375199884419
254,48.71573081056401,38.19375199884419
255,48.71573081056402,38.19375199884419
256,48.71573081056401,38.19375199884419
257,48.71573081056402,38.19375199884419
258,48.71573081056402,38.19375199884419
259,48.71573081056401,38.19375199884419
